index,rating,title,text,actual_sentiment,predicted_sentiment,correct,llm_emotion,llm_confidence,nrc_emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
57,3.0,"A good product, but a little hard to open.",These were ok but seemed a little expensive and were hard to open and put in the gift card.,NEUTRAL,NEUTRAL,True,trust,0.6,anticipation,0,2,0,0,2,0,2,1
58,5.0,Five Stars,Easy and accurate!,POSITIVE,POSITIVE,True,joy,0.95,trust,0,0,0,0,0,0,0,1
59,5.0,Good job.,Everything good.,POSITIVE,POSITIVE,True,joy,0.9,anticipation,0,2,0,0,2,0,2,2
60,5.0,Buy again and again,These egg cards were adorable and high quality.,POSITIVE,POSITIVE,True,joy,0.95,joy,0,0,0,0,1,0,0,0
61,1.0,Disappointed,Product didn’t come in the box nor did it have the names anywhere. Very disappointed.,NEGATIVE,NEGATIVE,True,sadness,0.95,anger,2,0,2,0,0,2,0,0
62,3.0,Gift card was lost for 3 days,Gift card was lost for 3 days,NEUTRAL,NEGATIVE,False,anger,0.8,anticipation,0,2,0,0,2,2,2,0
63,1.0,Dented snowflake tin,"The snowflake tin for the gift card was completely dented, not able to give as a gift which was the whole point",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,2,0,0,2,0,2,0
64,5.0,Packaged to gift,Gifts for the grandkids. Loved that they come already packaged to give. No need to buy card or wrapping paper to place gift cards. One gift card box was also a Christmas ornament  - very cool for a teenager.,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,3,0,0,3,0,3,0
65,5.0,It was a gift,Gave to my grandson for Christmas,POSITIVE,NEUTRAL,False,trust,0.9,anticipation,0,1,0,0,1,0,1,0
66,1.0,1 card missing.,I only received 19 cards.,NEGATIVE,NEGATIVE,True,sadness,0.95,fear,0,0,0,1,0,1,0,0
67,1.0,Hi,Not,NEGATIVE,NEUTRAL,False,anticipation,0.1,,0,0,0,0,0,0,0,0
68,1.0,One Star,non were authorized,NEGATIVE,NEGATIVE,True,anger,0.8,anticipation,0,1,0,0,1,0,0,1
69,3.0,great food.,"Want a five,give a 20%discount,great food.",NEUTRAL,POSITIVE,False,joy,0.8,joy,0,0,0,0,2,0,0,2
70,3.0,Christmas Foil Gift Card Holders,Serves the purpose at a good price. The only down side is the gift cards just rattle around in the container as there is no slots or packing to hold the gift card.,NEUTRAL,NEUTRAL,True,trust,0.6,anticipation,0,4,0,0,4,0,4,1
71,3.0,Gift box is filthy and crinkled,"The box is smashed and dirty.  Looks like someone slid it around on the ground and then packaged it up and sent it to me.  I will buy the gift cards from local stores from now on.  This is a gift and I am too ashamed to present it in the gift box.  The card itself is okay, but ordering it in the gift box was kind of the point.",NEUTRAL,NEGATIVE,False,disgust,0.95,joy,0,6,3,0,7,1,6,3
72,1.0,Received as a gift and had NOTHING ON IT.,"Received from my sister as a gift and went to use it, turns out it was never activated. Customer service from the card says Amazon has to activate it but it should have already been activated when it was scanned and packaged. I called Amazon and so has my sister, they can’t do anything because the card restrictions set. The sellers website says an activation code comes with the card but there is not a single thing on this card stating it needs activated nor a code on the card for activation. Overall my sister just lost $206 on a card with zero funds and I cannot purchase the items needed for my children.",NEGATIVE,NEGATIVE,True,anger,0.98,anticipation,0,2,0,0,2,1,2,0
73,5.0,Fast Delivery,This arrived to its destination very quickly.  Impressive!,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,2,0,1,1,1,1,0
74,1.0,DO NOT BUY!,Fraud alert!!!!<br />It had a zero balance on the gift card!,NEGATIVE,NEGATIVE,True,anger,0.95,anger,1,1,0,0,1,0,1,0
75,1.0,These gift cards came with a 0.00 balance,"I bought these gift cards as incentive for my employees, imagine how awful it was to find out... all of the $ we spent for these gift cards was to receive 5 sets of gift cards that all have a 0.00 balance.<br /><br />*They sent over 1 set of replacement cards. Still haven't heard from the company at all. Still at a loss for all 4 other sets.",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,2,4,1,2,4,2,4,0
76,3.0,Cards NOT as pictured,"Received plain white cards with white cardboard packaging and the $10 at the top left of the cardboard wrap was written in sharpie.  I checked the first 2 cards to ensure they had a $10 balance on them, which they did.  What I received was NOT what is pictured.",NEUTRAL,NEGATIVE,False,anger,0.9,anticipation,0,3,0,0,2,0,0,3
77,3.0,The product would benefit me.,Transportation. You should have more than $50.00.  this amount won't take you far.,NEUTRAL,NEGATIVE,False,sadness,0.7,,0,0,0,0,0,0,0,0
78,5.0,Got what I expected.,Never can go wrong with gift cards,POSITIVE,POSITIVE,True,trust,0.9,anticipation,0,2,0,0,1,0,1,0
79,5.0,Easy way to reload your account,This is easy way to keep some money in your amazon account and don't have to worry about choose the wrong card since I have a few attached to my profile.,POSITIVE,POSITIVE,True,trust,0.9,trust,1,2,0,1,1,1,1,3
80,1.0,where is the card I have not recieved,where is the card I have not recieved<br />where is the card I have not recieved<br />where is the card I have not recieved,NEGATIVE,NEGATIVE,True,anger,0.95,,0,0,0,0,0,0,0,0
81,5.0,USEFUL,Nice offer; will try it again,POSITIVE,POSITIVE,True,trust,0.9,,0,0,0,0,0,0,0,0
82,5.0,This gift card arrived on time in a beautiful box for gift giving,This gift card arrived on time in a beautiful box for gift giving.  Very pleased and would recommend Amazon and Amazon Prime for all your needs.,POSITIVE,POSITIVE,True,joy,0.95,joy,0,6,0,0,7,0,4,1
83,3.0,Three Stars,Not nearly large enough!  ;-D<br />Seriously....  A review for reloading my gift card balance?,NEUTRAL,NEUTRAL,True,surprise,0.6,anticipation,0,1,0,0,1,0,1,0
84,3.0,High purchase fee,"Convenient gift card. Can be used anywhere, but the purchase fee is high.",NEUTRAL,NEGATIVE,False,sadness,0.6,anger,2,1,0,0,1,0,1,0
85,5.0,Best gift card,Easy and fast to use,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,1,0,0,1,0,1,0
86,3.0,Flimsy card,Card was flimsy cardboard. Not your typical plastic card.,NEUTRAL,NEGATIVE,False,disgust,0.9,,0,0,0,0,0,0,0,0
87,1.0,I agree with the other disappointed reviewers.,"I agree with the other disappointed reviewers...don't purchase this gift card.  Tickets are available online only.  Only two theaters in my area offer tickets using this card (Celebration Cinema does not), and I was charged a $2.70 fee when purchasing two tickets, leaving me $0.30 on the card which is totally unusable. Fandango should be ashamed!",NEGATIVE,NEGATIVE,True,anger,0.95,anger,3,2,3,0,2,3,2,1
88,1.0,MUST BE USED AT AMAZON,Have to use it on purchases thru Amazon.,NEGATIVE,NEUTRAL,False,anticipation,0.9,,0,0,0,0,0,0,0,0
89,3.0,Great delivery,Received ahead of time. Nice size. Can’t wait to try,NEUTRAL,POSITIVE,False,anticipation,0.95,anticipation,0,3,0,0,0,0,0,0
90,3.0,Three Stars,I wish this product had an electronic delivery option.,NEUTRAL,NEUTRAL,True,anticipation,0.6,anticipation,0,1,0,0,0,0,0,0
91,3.0,I love it!,It’s great!,NEUTRAL,POSITIVE,False,joy,0.98,joy,0,0,0,0,1,0,0,0
92,5.0,Easy gift giving,It was a gift,POSITIVE,NEUTRAL,False,trust,0.8,anticipation,0,2,0,0,2,0,2,0
93,3.0,Deivered to wrong door!,"I instructed the package be placed between the door and screen door. When I saw it was delivered, I looked and no package. I looked in my mail box, all around the yard and began to panic. My neighbor, who is in her late 90's came home and I was explaining what happened. When she opened her door, there was my package. It clearly stated to deliver to 116 and it was delivered to 117. Thank God she is an honest and Godly woman.. I think the person that delivered it should be told to be more careful where he delivers his packages. This turned out ok but had it been a dishonest person I would have lost 100.00. I should be compensated for the panic I went through, but am thankful for my neighbor being such a sweet lady. 117 looks a lot different than 116. I love the gift box, but am leary about ordering again.",NEUTRAL,NEGATIVE,False,fear,0.8,joy,2,6,2,4,7,4,2,6
94,3.0,Three Stars,Tree hangers,NEUTRAL,NEUTRAL,True,trust,0.5,anger,1,1,1,0,1,0,1,1
95,3.0,Opp’s,I purchased by mistake? Important to read all the details?,NEUTRAL,NEGATIVE,False,sadness,0.6,sadness,0,0,0,0,0,1,0,1
96,3.0,Fast shipping,"I saw pics from other customers 's showing it very big box.  When I got mine, it is very small tight box.  But fast shipping. Thank you .",NEUTRAL,NEUTRAL,True,surprise,0.6,,0,0,0,0,0,0,0,0
97,3.0,Works ok,"Easy process, but didn't get my $5 credit!",NEUTRAL,NEGATIVE,False,anger,0.7,trust,0,0,0,0,0,0,0,1
98,2.0,"Bought to get a bonus that never came, so I'd have been better to hang on to my money","I got this to take up an offer of a $5 bonus that never materialized.<br /><br />No doubt there was something in the small print that rendered the products I bought with it ineligible, but there seems no point in keeping my money in Amazon's bank account instead of my own.<br /><br />Amazon should make the eligibility criteria crystal clear. I tried to find them but couldn't so took the chance. Never again.",NEGATIVE,NEGATIVE,True,anger,0.95,trust,2,4,0,1,4,1,5,5
99,3.0,Item delivered damaged and bent,Had to get refund no exchange,NEUTRAL,NEGATIVE,False,anger,0.95,trust,0,0,0,0,0,0,0,1
100,1.0,Damaged gift card packaging,I purchased 5 gift cards and two of them came in damaged envelopes. Since they are gift cards I cannot return them.,NEGATIVE,NEGATIVE,True,anger,0.9,anticipation,0,3,0,0,3,0,3,0
101,3.0,You can usr it purchasr amazon coins for apps even tho not transferrable can be used for both that way,Was confusing on how to usr and for what but great to have control on spending limit and not have card accessable,NEUTRAL,POSITIVE,False,trust,0.7,,0,0,0,0,0,0,0,0
102,4.0,"Reloading card, it's good.","It's great, I'm still getting the hang of it though. I sometimes have trouble redeeming/reloading cards that I buy. It's easy once you get the hang of it.",POSITIVE,POSITIVE,True,trust,0.7,anticipation,0,1,0,0,1,0,1,1
103,5.0,xr case,I love the case and its versatility,POSITIVE,POSITIVE,True,joy,0.95,fear,0,0,0,2,1,2,0,0
104,4.0,Easy-to-use,Outdoors for deck easy to use.,POSITIVE,POSITIVE,True,trust,0.9,,0,0,0,0,0,0,0,0
105,1.0,Didn't get $10 bonus for buying $50 worth of this and 3 other gift card products.,"I purchased 3 gift cards worth $20 each of 4 different designs, and it was advertised that, in doing so, I would receive $10 credit on each of the sets of 3, meaning I should now show $40 credit for my purchase.  All I got credit for was the dollar amount of the entire purchase.",NEGATIVE,NEGATIVE,True,anger,0.95,trust,0,3,0,0,3,0,3,4
106,1.0,Worthless,I hate it !! The card was activated the day after purchase and spent before delivery no refund available so my Grandson who's father committed suicide in July was very disappointed<br />HOLIDAYS ARE VERY HARD ALREADY<br />Do not purchase,NEGATIVE,NEGATIVE,True,anger,0.95,anger,4,1,3,2,0,4,0,2
107,5.0,"A wonderful way to send a gift of cash, delivered nearly instantly, too.",Above.,POSITIVE,POSITIVE,True,joy,0.95,joy,1,2,0,1,3,0,2,2
108,1.0,Restaurant Closed,"Don't purchase these gift cards!!!  Lone Star has closed all locations in CA and according to their website, there are no locations left!!!!",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,2,0,0,2,1,1,1
109,5.0,Good to have,It's nice to just add more money to your card very fast convenient,POSITIVE,POSITIVE,True,joy,0.9,anticipation,1,2,0,0,2,0,2,2
110,1.0,what happened to Amazon?,I've bought these every year at Christmas time and have always been very satisfied.  This year they shorted me a card and when I called to have it replaced they deactivated one of the cards that I had. They did not send a replacement until several days later when I called back. When they did send the replacement they deactivated a second gift card. So needless to say I ended up giving deactivated git cards for Christmas.  I have been on the phone with Amazon 6 different times now and they can't seem to get it right. Looks like my Amazon Christmas shopping has come to an end. Was good while it lasted.,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,4,0,0,4,0,3,2
111,5.0,Five Stars,"Cute packaging, arrived quickly!",POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
112,2.0,Support,Very hard time with support,NEGATIVE,NEGATIVE,True,anger,0.9,anticipation,0,1,0,0,0,0,0,0
113,1.0,Dislike,Dislike,NEGATIVE,NEGATIVE,True,disgust,0.95,anger,2,0,2,0,0,0,0,0
114,2.0,Didn't get the promotional credit on prime day when getting the card,It would be a five star rating but I didn't get the promotional credit on prime day when getting the card when buying the card.  I had added the coupon code to the cart but apparently it didn't hold throughout the checkout process,NEGATIVE,NEGATIVE,True,sadness,0.75,trust,1,1,0,1,1,1,0,3
115,3.0,Not Exciting,The box shown on app was looking better but when I received I found it very tiny and also the Gift message was missing,NEUTRAL,NEGATIVE,False,sadness,0.95,joy,0,2,0,1,3,1,2,1
116,3.0,Bummer,"I thought this would be a hit for several people but not so.  The quality differs tremendously by store.  For instance, the one in Highlands, N. C. is excellent - ingredients always fresh; very clean, etc.  We stopped at several in Fla. and were very disappointed.  The veggies looks &#34;whipped out&#34; and the over-all ambience of the place was negative.  No ore SUBWAY gift certs.",NEUTRAL,NEGATIVE,False,sadness,0.8,anger,3,3,2,0,3,2,1,2
117,1.0,Can`t use go back to the system,"I spent all afternoon trying to reload my wife`s account and never accomplished it, go back to the old system or I will go to Walmart.  I am not spending 2hrs to send you money.",NEGATIVE,NEGATIVE,True,anger,0.95,trust,1,1,0,0,2,0,1,4
118,3.0,amount of gift card not printed,The amount of the gift was not printed on the card so I enclosed a note.  Past orders have had the amount on the card.  The graduation box is great.,NEUTRAL,NEUTRAL,True,trust,0.6,anticipation,0,3,0,1,3,0,3,1
119,1.0,WARNING: DO NOT BUY,"After registering the card, I still couldn’t use the card. Kept saying invalid.",NEGATIVE,NEGATIVE,True,anger,0.98,fear,0,0,0,1,0,1,0,0
120,5.0,Elegant gift box,It is a nice durable box. Makes for a nice gift box.,POSITIVE,POSITIVE,True,joy,0.9,joy,0,2,0,0,3,0,2,1
121,3.0,Only Works some of the times,"I get Amazon, Visa and American Express gift cards as gifts, so I try to load them on Amazon to my Gift Card Balance online.<br />I have a 100% success rate with Amazon gift cards, about a 50% success rate loading Visa gift cards, and a 0% success rate loading American Express to my online Amazon balance.",NEUTRAL,NEUTRAL,True,anticipation,0.6,anticipation,0,7,0,0,7,0,4,0
122,1.0,what rip off!,"keep in mind their going to charge you<br /> $42.00 for a 100.00 gift certificate, would not of purhased if i had known that!",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,1,0,0,1,0,1,0
123,3.0,Gift receipt not received.,"The gift card is fine and arrived on time, but the gift reciept and message was not received.",NEUTRAL,NEGATIVE,False,sadness,0.7,anticipation,0,4,0,0,3,0,3,0
124,3.0,Yas,Yas,NEUTRAL,POSITIVE,False,joy,0.8,,0,0,0,0,0,0,0,0
125,1.0,Sorry card . Money wasted if can’t register card,Tried calling the number on the card and I put the damn 16 digit number in 4 times and it just keeps saying enter the 16 digit card number .,NEGATIVE,NEGATIVE,True,anger,0.95,anger,3,1,2,0,1,0,1,3
126,3.0,Delivery,The card itself was fine. But Amazon delivery left the package in my driveway.,NEUTRAL,NEGATIVE,False,anger,0.6,anticipation,0,2,0,0,0,0,0,0
127,5.0,Five Stars,It's the best looking Amazon gift card. My favorite.,POSITIVE,POSITIVE,True,joy,0.95,joy,0,1,0,0,2,0,1,1
128,5.0,Five Stars,My parents loved this gift and as did I with the added convenience of purchasing online.,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,1,0,0,1,0,1,0
129,1.0,Zero stars had to pick one,"Card was already scratched and used. Scumbags, get a job and do something useful with your life.",NEGATIVE,NEGATIVE,True,anger,0.98,,0,0,0,0,0,0,0,0
130,5.0,Rating - 5 stars,It was very easy to find and to place my order.  It was nice to get a $10.00 gift certificate but it would have been nicer to be able to use it on any order and not just from Amazon.,POSITIVE,NEUTRAL,False,trust,0.6,anger,1,1,0,1,1,1,1,0
131,1.0,Buyer Beware!,"I just tried to buy an iPod for my daughter with our gift cards from Christmas. It turns out you can only use one gift card per order. The call rep I spoke with acted like it was very generous that Amazon allows customers to combine both credit cards and gift cards in one order.  She repeatedly sited ""security reasons"" as why I could only use one gift card at a time.<br /><br />Considering Amazon issued the gift cards AND my credit card, I don't understand how they can't figure out security issues that would then allow me to actually use these things. I wouldn't have thought Amazon would be so petty as to cause customers to make multiple orders on low cost items and force cash or credit payments for higher cost ones, but that is obviously the case. It is even more irritating that they sell gift cards for $100 but I couldn't use two at $25. I will definitely NOT be buying any more gift cards from Amazon.",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,3,11,1,4,10,1,7,5
132,5.0,Easy Gifting,Love the card that came with it.  Made Christmas easy,POSITIVE,POSITIVE,True,joy,0.95,joy,0,0,0,0,1,0,0,0
133,3.0,Three Stars,It did.,NEUTRAL,NEUTRAL,True,trust,0.5,,0,0,0,0,0,0,0,0
